dish,net,Estimated GI
Diced duck with lettuce and carrot," 130 g
",35.0
Sliced pork with green pepper and water bamboo," 121 g
",0.0
Vegetable," 113 g
",20.0
Grilled pork chop with green onion," 115 g
",0.0
Minced pork with white gourd," 161g
",0.0
Chinese cabbage," 122 g
",10.0
Steamed chicken with scallion," 123 g
",5.0
Shredded pork with cucumber and carrot," 112 g
",17.5
Radish," 128 g
",50.0
Fried egg and starch coated chicken slices," 123 g
",0.0
Minced pork with zucchini, 103 g,0.0
"
Coarse grain", 117 g,50.0
Boiled vegetable, 111 g,20.0
Braised pork with radish," 124 g
",0.0
Shredded pork with water bamboo and carrot," 114 g
",17.5
Egg, 69 g,0.0
Sliced boiled duck," 108 g
",0.0
Chicken nuggets with green pepper," 162 g
",7.5
Minced pork with cauliflower and fungus,"  72 g
",7.5
Coarse grain, 118 g,50.0
Egg, 58 g,0.0
Diced duck with water bamboo," 128 g
",0.0
Shredded pork and shredded lettuce,"  62 g
",0.0
Sliced pork with king oyster mushroom and fungus," 149 g
",7.5
Minced pork with tomato and cabbage," 64 g
",5.0
Coarse grain, 126 g,50.0
Egg, 70 g,0.0
Steamed chicken with mushrooms," 147 g
",15.0
Minced pork with white gourd and carrot," 78 g
",17.5
Sliced pork with asparagus and fungus," 154 g
",0.0
Minced pork with cucumber and scallion oil," 102 g
",0.0
Cabbage," 108 g
",10.0
Coarse grain, 215 g,50.0
Braised duck slices with green pepper and onion," 135 g
",7.5
Minced pork with cowpea," 111 g
",0.0
Vegetable," 114 g
",20.0
Coarse grain, 266 g,50.0
Sliced pork with snow pea and yam," 135 g
",0.0
Shredded pork with broccoli," 114 g
",0.0
Shredded Chinese cabbage and carrot," 107 g
",22.5
Coarse grain, 271 g,50.0
Stir-fried fish slices with tomatoes," 141 g
",0.0
Minced meat with yam and corn," 101 g
",50.0
Amaranthus," 94 g
",50.0
Coarse grain, 286 g,50.0
Braised eggs and small meat balls," 169 g
",0.0
Shredded pork with lettuce and fungus," 117 g
",0.0
Cabbage and carrot," 120 g
",22.5
Coarse grain, 289 g,50.0
Coarse grain steamed bread," 140g
",62.5
Chicken with lotus root and celery," 149 g
",0.0
Fried sliced pork," 115 g
",0.0
Green pepper and green bean sprouts," 111g
",30.0
Coarse grain, 263 g,50.0
Sliced pork with bitter melon," 159 g
",0.0
Shredded pork with green pepper and water bamboo," 134 g
",0.0
Vegetable," 112 g
",20.0
Rice, 261 g,70.0
Grilled pork ribs with scallions," 115 g
",0.0
Minced pork with white gourd," 132 g
",0.0
Sweet potato leaves," 103 g
",80.0
Coarse grain, 275 g,50.0
Sliced pork with zucchini,"  178 g
",0.0
Radish," 118 g
",50.0
Coarse grain, 277 g,50.0
Fried duck breast with beech mushroom," 128 g
",15.0
Shredded pork with gourd and tomato,"  125 g
",0.0
Lettuce," 96 g
",10.0
Shredded pork with green pepper and beech mushroom," 137 g
",7.5
Minced pork with towel gourd," 157 g
",0.0
Chinese cabbage and carrot," 121 g
",22.5
Coarse grain, 267 g,50.0
Fried pork slices with Bergamot melon," 160 g
",0.0
Shredded pork with lettuce," 139 g
",0.0
Coarse grain, 218 g,50.0
Egg," 58 g
",0.0
Minced pork with potato and cabbage,"  124 g
",30.0
Sweet potato leaves," 112 g
",80.0
Coarse grain, 226 g,50.0
Sliced meat with zucchini," 149 g
",50.0
Minced pork with white gourd and carrot," 127 g
",17.5
Hangzhou cabbage," 106 g
",10.0
Braised pork chops with radish," 153g
",0.0
Minced meat with eggplant," 138 g
",0.0
Vegetable," 116 g
",20.0
Coarse grain, 222 g,50.0
Steamed meatballs with yam,"  95 g
",50.0
Shredded pork with green pepper and carrot," 118 g
",17.5
Coarse grain, 239 g,50.0
Boiled vegetable, 100 g,20.0
Fried pork slices with celery and ginkgo," 149 g
",0.0
Shredded pork with tomato and cabbage,"  116 g
",5.0
Lettuce," 106 g
",10.0
Coarse grain, 232 g,50.0
Scrambled egg with tomato," 155 g
",0.0
Hangzhou cabbage," 110 g
",10.0
Diced pork with green pepper and carrot," 115 g
",17.5
Shredded pork with tomato and cabbage," 119 g
",5.0
Lettuce," 114 g
",10.0
Steamed pomfret," 80 g
",0.0
Coarse grain, 121 g,50.0
Minced pork with broccoli and carrot," 103 g
",17.5
Sliced pork with lettuce and water bamboo," 123 g
",0.0
Chinese cabbage," 114 g
",10.0
Egg," 67 g
",0.0
