dish,net,Estimated GI
Stir-fried green pepper and bean sprout," 107 g
",30.0
Cauliflower and shredded pork," 119 g
",7.5
Coarse grain steamed bread," 161 g
",62.5
Egg, 63 g,0.0
Coarse grain," 134 g
",50.0
Chicken nugget," 179 g
",0.0
Vegetable, 122 g,20.0
"
Cauliflower, fungus and shredded pork", 130 g,7.5
Boiled vegetable, 121 g,20.0
Pork stuffed egg roll," 118 g
",0.0
"Yam, fungus and shredded pork", 110 g,0.0
"
Fried cabbage", 125 g,10.0
Boiled vegetable, 116 g,20.0
Pork stuffed green pepper," 130 g
",0.0
Fried chinese cabbage," 114 g
",10.0
Green vegetable, 124 g,20.0
Boiled vegetable," 110 g
",20.0
Braised pork rib with carrot,"  158 g
",17.5
Minced pork and eggplant, 124 g,0.0
"
Crown daisy"," 110 g
",50.0
Roast pork rib with scallion," 122 g
",0.0
Chinese cabbage and shredded pork," 137 g
",5.0
Fried vegetable," 122 g
",20.0
Boiled vegetable," 118 g
",20.0
Braised pork with dried bean curd," 50 g
",15.0
Shredded pork with cabbage," 50 g
",5.0
Fried mushroom," 50 g
",15.0
Rice," 10 g
",70.0
Soybean milk, 390 g,30.0
Fried lettuce," 60 g
",10.0
Tofu skin," 64 g
",15.0
Fungus and yam porridge, 150 g,50.0
Sweet potato," 123 g
",80.0
Black fungus with vinegar," 28 g
",50.0
Boiled egg," 42 g
",0.0
Radish, 124 g,50.0
Meal replacement powder," 35 g
",50.0
Milk, 200 ml,50.0
Luncheon meat," 49 g
",50.0
Preserved egg," 57 g
",0.0
Fried spinage," 100 g
",50.0
Soybean milk," 290 ml
",30.0
Sandwich, 159 g,50.0
Leaf lettuce," 120 g
",10.0
Steamed fish," 60 g
",0.0
Curry potato and chicken," 75 g
",80.0
Coarse grain, 50 g,50.0
Raddish," 125 g
",50.0
Apple, 115 g,40.0
Preserved egg and tofu," 100 g
",7.5
Black fungus with vinegar," 20 g
",50.0
Goose egg," 30 g
",0.0
Corn porridge," 100 g
",50.0
Soybean milk, 290 ml,30.0
Steamed fish," 65 g
",0.0
"Fried fungus, yam and lettuce"," 75 g
",10.0
Scrambled egg with leek and bean sprout, 100 g,15.0
Carrot soup," 150 g
",35.0
Latte Coffee, 200 ml,50.0
Fried celery and cauliflower," 120 g
",15.0
Luncheon meat," 25 g
",50.0
Radish soup, 150 g,50.0
Bread," 20 g
",75.0
Egg," 43 g
",0.0
Ham," 45 g
",50.0
Vegetable with sauce, 20 g,50.0
Apple, 125 g,40.0
Meal replacement powder,"  35 g
",50.0
Milk, 250 ml,50.0
Orange, 48 g,45.0
Boiled shrimp," 43 g
",50.0
Fried Celery and cabbage," 100 g
",10.0
Fried tofu," 100 g
",15.0
Boiled egg," 43 g
",0.0
Soybean milk," 290 g
",30.0
 Black fungus with vinegar, 30 g,50.0
Raddish, 105 g,50.0
Boiled shrimp," 42 g
",50.0
Fried fungus and zucchini," 100 g
",50.0
Boiled egg," 39 g
",0.0
Luncheon meat, 45 g,50.0
Wax gourd," 100 g
",50.0
Zucchini and sliced pork," 100 g
",0.0
Instant noodles, 100 g,55.0
Coffee, 350 ml,50.0
Fried mushroom and green pepper," 150 g
",15.0
Luncheon meat, 25 g,50.0
"
Goose egg"," 45 g
",0.0
Boiled shrimp," 30 g
",50.0
Curry chicken," 75 g
",0.0
Boiled shrimp," 25 g
",50.0
"Fried carrot, fungus and cabbage"," 120 g
",22.5
Fried vegetable," 125 g
",20.0
Yam and fungus porridge, 200 g,50.0
Steamed vegetable bread," 250 g
",75.0
Soybean milk, 290 g,30.0
Chinese sauerkraut," 250 g
",50.0
Pig feet," 8 g
",50.0
Duck leg, 20 g,0.0
Apple, 90 g,40.0
Steamed vegetable stuffed dumpling, 138 g,20.0
Vegetable pancake," 145 g
",20.0
Chinese cabbage and tofu soup, 150 g,12.5
Latte coffee, 480 ml,50.0
Taro, 110 g,50.0
Apple, 120 g,40.0
Boiled sliced mutton," 50 g
",50.0
Braised duck with soy sauce," 50 g
",50.0
"Fried leek,egg and bean sprout"," 100 g
",15.0
Fried celery and cauliflower, 100 g,15.0
Taro," 75 g
",50.0
Egg," 44 g
",0.0
Fungus porridge, 100 g,50.0
Red pepper fish fillets," 200 g
",7.5
Fried onion and muttion," 50 g
",50.0
Radish soup," 200 g
",50.0
Taro, 74 g,50.0
Scrambled egg with onion," 75 g
",0.0
Tofu," 55 g
",15.0
Taro," 65 g
",50.0
Radish soup, 125 g,50.0
Noodles with olive vegetable and pepper," 130 g
",55.0
Soybean milk, 390 ml,30.0
Fungus porridge," 150 g
",50.0
Fried vegetable," 100 g
",20.0
Scrambled egg with bean sprout and leek,  100 g,15.0
Egg," 42 g
",0.0
Luncheon meat," 30 g
",50.0
Bread," 50 g
",75.0
Fried tofu," 60 g
",15.0
Fried cabbage and celery," 100 g
",10.0
Fried zucchini with ham sausage," 100 g
",50.0
Fungus porridge, 150 g,50.0
Red date and fungus porridge," 150 g
",50.0
Soybean milk," 390 ml
",30.0
Bread, 70 g,75.0
Raddish," 140 g
",50.0
Steamed taro, 150 g,50.0
Spinage," 60 g
",50.0
Chinese cabbage and tofu," 100 g
",12.5
Zucchini," 60 g
",50.0
Mutton," 40 g
",50.0
Red date and fungus porridge, 150 g,50.0
Bread, 67 g,75.0
"Chinese cabbage, fungus and dried bean curd"," 50 g
",20.0
Kung Pao Chicken," 100 g
",0.0
Fried long bean with shredded pork," 100 g
",15.0
Steamed vegetable bun," 105 g
",20.0
Boiled egg," 54 g
",0.0
Boiled egg, 60 g,0.0
"Lettuce, yam and fungus"," 100 g
",10.0
Eggplant," 100 g
",0.0
Chinese cabbage and tofu soup," 250 g
",12.5
Dumpling," 120 g
",50.0
Meal replacement powder,"  50 g
",50.0
Fried zucchini with shrimp and egg," 120 g
",0.0
Chinese cabbage and tofu soup," 300 g
",12.5
Boiled egg," 52 g
",0.0
Bread," 84 g
",75.0
Boiled egg," 55 g
",0.0
Braised eggplant," 120 g
",0.0
Pork fried with garlic shoot," 50 g
",0.0
Stir-fried sliced lamb with scallion," 50 g
",10.0
Boiled dumpling," 125 g
",50.0
Boiled egg," 53 g
",0.0
Bread," 83 g
",75.0
Scrabled egg with tomato,"100 g
",0.0
Vegetable soup," 300 g
",20.0
Vegetarian dumpling, 190 g,50.0
Vegetarian dumpling," 165 g
",50.0
Bread," 70 g
",75.0
Latte coffee," 380 ml
",50.0
Whole wheat bread with cheese," 100 g
",75.0
Vegetable salad," 100 g
",20.0
Latte coffee," 280 ml
",50.0
Taro," 100 g
",50.0
Boiled egg," 38g
",0.0
Scrabled egg with tomato,"75 g
",0.0
Fried eggplant," 75 g
",0.0
Fried broad bean," 125 g
",30.0
Fried green vegetable," 75 g
",20.0
Corn noodles," 100 g
",55.0
Boiled egg," 90 g
",0.0
Matcha Latte," 380 ml
",50.0
Egg," 45 g
",0.0
Bread," 90 g
",75.0
Matcha latte," 200 ml
",50.0
Smoked fish," 50 g
",0.0
Sword bean," 50 g
",30.0
Red wine," 60 g
",50.0
Pan fried bun, 80 g,50.0
Steamed bun," 120 g
",50.0
Milk cereal, 100 g,50.0
Chicken leg," 50 g
",0.0
Vegetable," 55 g
",20.0
Bean sprout," 25 g
",30.0
Coarse grain," 87 g
",50.0
Vegetable," 52 g
",20.0
Snakehead, 50 g,50.0
Croissants," 80 g
",50.0
Milk cereal, 150 g,50.0
Steamed yellow croaker," 50 g
",50.0
Vegetable," 56 g
",20.0
Tofu," 20 g
",15.0
Bullfrog," 100 g
",50.0
Steamed sponge cake, 40 g,50.0
Rice cake," 100 g
",70.0
Milk cereal with notoginseng powder, 150 g,50.0
Chicken nugget," 50 g
",0.0
Potato, 58 g,80.0
Scrambled egg with tomato," 50 g
",0.0
Braised fish," 50 g
",0.0
Green vegetable, 30 g,20.0
Steamed bun," 100 g
",50.0
Milk cereal with notoginseng powder, 100 g,50.0
Fried egg,"  80 g
",0.0
Potato, 50 g,80.0
Corn," 100 g
",50.0
Fried egg,"  10 g
",0.0
Steamed corn bun," 100 g
",50.0
Stewed white fungus and  Chinese forest frog, 100 g,50.0
Dried sliced bean curd," 50 g
",30.0
Radish," 30 g
",50.0
Deep-fried chicken fillet," 50 g
",0.0
Coarse grain," 65 g
",50.0
Scrambled egg with tomato," 10 g
",0.0
Broad bean," 20 g
",30.0
Shrimp, 20 g,50.0
Steamed bun," 80 g
",50.0
Bombay duck," 50 g
",0.0
Braised mutton," 56 g
",50.0
Scrambled egg with leek sprout,"  32 g
",0.0
Shrimp," 30 g
",50.0
Bullfrog," 35 g
",50.0
Pan fried bun, 50 g,50.0
Braised mutton," 50 g
",50.0
Broad bean," 50 g
",30.0
Shrimp, 30 g,50.0
Stuffed sticky rice ball," 100 g
",70.0
Coarse grain," 137 g
",50.0
Smoked fish," 52 g
",0.0
Braised mutton, 58 g,50.0
Seaweed pancake," 50 g
",50.0
Milk sugar, 50 g,50.0
Mutton and buckwheat noodles, 150 g,55.0
Salty biscuit, 100 g,50.0
Steamed corn bun," 120 g
",50.0
Buckwheat noodles," 200 g
",55.0
Steamed bean curd roll, 52 g,30.0
Hairtail," 25 g
",50.0
Potato," 20 g
",80.0
Shrimp," 10 g
",50.0
Steamed gluten," 15 g
",50.0
Spring roll," 50 g
",50.0
Vegetable," 18 g
",20.0
Rice wine, 50 g,70.0
Bread," 100 g
",75.0
Mashed potato, 60 g,80.0
Shrimp," 50 g
",50.0
Cauliflower," 60 g
",15.0
Fish," 56 g
",0.0
Beef," 50 g
",0.0
Dried radish, 20 g,50.0
Vegetable," 10 g
",20.0
Smoked fish, 55 g,0.0
Rice wine," 50 g
",70.0
Taro," 58 g
",50.0
Spring roll," 52 g
",50.0
Chicken leg, 54 g,0.0
Steamed fish," 100 g
",0.0
Beef, 55 g,0.0
Broccoli," 20 g
",50.0
Mutton," 80 g
",50.0
Cuttlefish, 50 g,0.0
Bread," 80 g
",75.0
Smoked fish," 30 g
",0.0
Scrambled egg with cauliflower,"100 g
",7.5
Pepper and potato, 20 g,80.0
Buckwheat noodles," 150 g
",55.0
Shrimp, 50 g,50.0
Dumpling," 44 g
",50.0
Pomfret," 30 g
",0.0
Tofu skin knot," 50 g
",15.0
White wine, 50 g,50.0
Pancake," 100 g
",50.0
Pan fried bun, 100 g,50.0
Steamed mushroom and vegetable stuffed bun, 100 g,15.0
Coarse grain," 48 g
",50.0
Shrimp and beef," 50 g
",0.0
Duck leg, 50 g,0.0
Beef," 58 g
",0.0
Apple, 50 g,40.0
Coarse grain," 45 g
",50.0
Shrimp," 54 g
",50.0
Duck neck," 65 g
",0.0
Garlic sprout, 160 g,50.0
Cashew nuts," 5 g
",50.0
Watermelon seeds, 30 g,50.0
Deep-fried dough stick," 80 g
",50.0
Salty soybean milk, 120 g,30.0
Stir-fried eel with hot oil," 50 g
",50.0
Yellow croker," 20 g
",50.0
Bombay duck," 58 g
",0.0
Taro," 62 g
",50.0
Potato and beef, 65 g,80.0
Vegetable," 80 g
",20.0
Chicken cutlet," 102 g
",0.0
Pretzel," 100 g
",50.0
Coffee, 100 g,50.0
Coarse grain," 93 g
",50.0
Broad bean," 52 g
",30.0
Tofu, 30 g,15.0
Chicken leg," 30 g
",0.0
Smoked fish, 30 g,0.0
Spiced sesame pancake," 100 g
",50.0
Sauced beef," 80 g
",50.0
Scrambled egg with tomato,100 g,0.0
Steamed bread," 100 g
",75.0
Poached egg," 50 g
",0.0
Chicken leg, 50 g,0.0
"Stir fried pork, bamboo shoot, peanut with sauce"," 50 g
",25.0
Scrambled egg with asparagus," 58 g
",0.0
Beef, 20 g,0.0
Coarse grain," 162 g
",50.0
Braised pomfret," 98 g
",0.0
Beef, 33 g,0.0
Pretzel, 50 g,50.0
Coarse grain," 95 g
",50.0
Beef," 22 g
",0.0
"Stir fried pork, bamboo shoot, peanut with sauce"," 20 g
",25.0
Seasame sweet dumpling, 100 g,50.0
Duck leg," 80 g
",0.0
Rice wine," 80 g
",70.0
Smoked fish, 50 g,0.0
Coarse grain," 56 g
",50.0
Scrambled egg with cauliflower,"50 g
",7.5
"Stir fried pork, bamboo shoot, peanut with sauce", 50 g,25.0
"Beef, potato and rice"," 150 g
",75.0
Egg and seaweed, 50 g,0.0
Buckwheat noodles," 162 g
",55.0
Scrambled egg with cauliflower," 80 g
",7.5
Braised beef," 50 g
",0.0
Dried bamboo shoot, 20 g,50.0
Steamed bread," 110 g
",75.0
Milk cereal with notoginseng powder," 100 g
",50.0
Seasame walnut powder, 100 g,50.0
Noodles," 100 g
",55.0
Duck meat, 50 g,0.0
Eel," 80 g
",50.0
Shrimp scrambled egg," 100 g
",0.0
Potato," 50 g
",80.0
Chicken feet," 50 g
",0.0
Chicken, 50 g,0.0
Buckwheat noodles," 142 g
",55.0
Egg," 48 g
",0.0
Braised bamboo shoot," 22 g
",50.0
Coarse grain," 88 g
",50.0
Braised mutton," 20 g
",50.0
Egg fried water bamboo," 50 g
",0.0
Fried celery with dried bean curd, 20 g,30.0
Steamed vegetable bread," 80 g
",75.0
Boiled egg," 50 g
",0.0
Steamed gluten and fungus," 55 g
",50.0
Fried chicken nugget with potato, 58 g,80.0
Bread," 58 g
",75.0
Smoked fish," 20 g
",0.0
Bullfrog," 50 g
",50.0
Vegetable and bean curd, 20 g,30.0
Bread," 60 g
",75.0
Fried rice with egg, 150 g,35.0
Bullfrog," 20 g
",50.0
Kung Pao Chicken," 30 g
",0.0
Fried fungus with fish fillet, 50 g,0.0
Milk cereal with notoginseng powder, 110 g,50.0
Potato," 35 g
",80.0
Fish fillet," 30 g
",0.0
Steamed bean curd roll,"  50 g
",30.0
Scrambled egg with tomato," 25 g
",0.0
Vegetable, 10 g,20.0
Potato," 25 g
",80.0
Vegetable," 15 g
",20.0
Steamed bean curd roll,"  40 g
",30.0
Shrimp, 12 g,50.0
Bread, 30 g,75.0
Mushroom and tofu soup," 100 ml
",15.0
Shrimps," 40 g
",50.0
Roasted halibut," 20 g
",50.0
"Winter bamboo shoot, water-chestnut and sausage", 100 g,50.0
Milk," 200 ml
",50.0
Oats," 30 g
",50.0
Sesame and nut," 15g
",50.0
Taro, 40 g,50.0
Noodles," 50 g
",55.0
"Lettuce, shredded asparagus and fried vegetable soup"," 200 ml
",15.0
Tofu skin knot," 60 g
",15.0
Pork rib, 40 g,0.0
Pork meatball and vermicelli soup," 100 ml
",0.0
Pig feet, 40 g,50.0
Kiwi fruit, 140 g,40.0
Beef soup," 200 ml
",0.0
Pan fried dumpling, 50 g,50.0
Noodles soup," 250 ml
",55.0
Crab meat, 100 g,0.0
Yogurt," 130 g
",50.0
Nut," 10 g
",50.0
Blueberry, 10 g,25.0
"Beef, oily bean curd and vermicelli soup"," 250 g
",30.0
Fried celery with dried bean curd," 20 g
",30.0
Fried bamboo shoots," 20 g
",50.0
Roasted flatfish," 30 g
",0.0
Curry rice," 50 g
",70.0
Orange, 120 g,45.0
Celery and sliced pork," 60 g
",0.0
Fried bamboo shoots," 30 g
",50.0
"Beef, Oily bean curd and vermicelli soup", 170 g,30.0
Taro," 48 g
",50.0
Rye bread, 70 g,75.0
Deep-fried spare ribs with spicy salt," 60 g
",50.0
Potato and sword bean," 100 g
",55.0
Braised tofu with green bean," 80 g
",22.5
Sugar free yogurt, 135 g,50.0
Kiwi, 120 g,50.0
Bamboo shoot soup with fresh and pickled streaky pork," 160 g
",0.0
Fried shrimp," 80 g
",50.0
Celery and smoked bean curd," 80 g
",30.0
Pea, 50 g,50.0
Taro," 63 g
",50.0
Toast, 75 g,50.0
Cabbage," 80 g
",10.0
Braised big pork meatball,"  60 g
",0.0
Scrambled egg with tomato," 100 g
",0.0
Celery and smoked bean curd," 70 g
",30.0
Taro," 40 g
",50.0
Pea," 40 g
",50.0
Dry-fried hairtail," 70 g
",50.0
Black fungus and bamboo shoot soup, 130 g,50.0
Taro," 50 g
",50.0
Toast," 60 g
",50.0
Sesame and walnut, 20 g,50.0
Sauerkraut fish," 100 g
",0.0
Bean," 50 g
",30.0
Potato," 30 g
",80.0
Tofu soup, 100 ml,15.0
Fried egg with leek," 40 g
",0.0
Hairtail," 40 g
",50.0
Chinese cabbage and pork meatball soup, 150 g,5.0
Taro," 30 g
",50.0
Toast," 50 g
",50.0
Shredded bamboo shoot and pickle," 50 g
",50.0
Lettuce," 60 g
",10.0
Celery and bean curd blade," 100 g
",30.0
Beef slice, 100 g,0.0
Celery and smoked bean curd," 100 g
",30.0
Shrimp," 70 g
",50.0
Pork pancake," 30 g
",0.0
Cabbage and meatball soup, 200 g,10.0
Wonton," 50 g
",60.0
Poached egg, 50 g,0.0
Fried halibut with celery," 100 g
",50.0
Stewed bamboo shoots," 70 g
",50.0
Boiled shrimp," 100 g
",50.0
Tofu skin knot, 100 g,15.0
Boiled shrimp," 80 g
",50.0
Fried egg with leek," 50 g
",0.0
Tomato and egg soup, 200 g,0.0
Poached egg," 40 g
",0.0
Coffee milk, 200 ml,50.0
River shrimp," 100 g
",50.0
White fish," 200 g
",0.0
Medicago polymorpha, 100 g,50.0
Chinese cabbage and potato soup," 200 g
",45.0
Pizza," 100 g
",50.0
Roast pig feet, 40 g,50.0
Croissants," 66 g
",50.0
Chinese cabbage and rice cake, 60 g,40.0
Egg," 35 g
",0.0
Coffee milk," 200 ml
",50.0
Pizza, 100 g,50.0
Guangdong cabbage," 100 g
",10.0
Eggplant," 50 g
",0.0
Lettuce and fungus," 100 g
",10.0
Dried bamboo shoots with pork," 100 g
",0.0
Candy,  5 g,50.0
Braised fish," 90 g
",0.0
Broccoli," 80 g
",50.0
Vermicelli," 70 g
",50.0
Spinach and pork meatball soup, 200 g,0.0
Egg," 38 g
",0.0
Rye bread, 95 g,75.0
Mushroom and vegetable," 100 g
",15.0
Shrimp with pepper and salt," 50 g
",15.0
Fried fungus with broccoli," 70 g
",50.0
Yogurt," 100 g
",50.0
Oily bean curd and Chinese cabbage, 50 g,20.0
Agrocybe cylindracea," 50 g
",50.0
Lotus root," 50 g
",50.0
Pork rib soup with radish, 200 g,0.0
Lotus nut and lily soup, 200 ml,50.0
Dried cabbage," 60 g
",10.0
Dry fried yellow croaker," 100 g
",50.0
Yogurt, 100 g,50.0
Tomato," 40 g
",50.0
Cucumber, 60 g,50.0
Boiled river shrimp," 80 g
",50.0
Pea," 50 g
",50.0
Roast pig's feet," 30 g
",50.0
"Radish, fungus and pork rib soup", 200 g,0.0
Rice," 100g
",70.0
Cabbage," 100g
",10.0
Fried mushroom and vegetable," 50g
",15.0
Braised pork," 27g
",0.0
Fish, 50g,0.0
Rice," 75g
",70.0
Vegetable," 100g
",20.0
Fish," 50g
",0.0
Beef, 20g,0.0
Red bean and red date soup1," 00g
",30.0
Duck egg, 60g,0.0
Rice," 50g
",70.0
Crown daisy," 50g
",50.0
Scrambled egg with tomato," 40g
",0.0
"Carrot, yam and pig feet soup", 50g,35.0
Apple, 70g,40.0
Cabbage," 50g
",10.0
Duck," 20g
",0.0
"Carrot, yam and pig feet soup", 50 g,35.0
Red bean and red date," 120 g
",30.0
Duck egg," 60g
",0.0
Protein powder, 15 g,50.0
Steamed bean curd roll," 50g
",30.0
Apple," 70g
",40.0
"Carrot, yam, bamboo shoot and pork soup", 100g,17.5
Vegetable," 120g
",20.0
Steamed bean curd roll," 70g
",30.0
"Carrot, yam, bamboo shoot and pig feet soup", 60 g,35.0
Red bean and red date," 120g
",30.0
Rice cake, 20g,70.0
Celery," 50g
",50.0
Shepherd’s purse and minced pork stuffed tofu skin," 75g
",7.5
Steamed egg, 25g,0.0
Apple, 100g,40.0
Rice," 90g
",70.0
Celery," 90g
",50.0
Shepherd’s purse and minced pork stuffed tofu skin," 70g
",7.5
Fish," 20g
",0.0
Steamed bean curd roll, 25g,30.0
Red bean and red date," 100g
",30.0
Steamed pork dumplings, 30g,0.0
Protein powder, 24g,50.0
Rice," 70g
",70.0
Garlic," 50g
",50.0
Vegetable," 50g
",20.0
Shrimp, 50g,50.0
Garlic," 60g
",50.0
Shrimp," 50g
",50.0
Cabbage, 30g,10.0
Rice," 95g
",70.0
Vegetable," 60g
",20.0
Bamboo shoot and shredded tofu skin," 60g
",15.0
Meatball," 40g
",50.0
Shrimp, 19g,50.0
Apple," 150g
",40.0
Sugar-fried chestnuts, 50g,50.0
Vegetable," 40g
",20.0
Meatball," 29g
",50.0
Tofu skin," 42g
",15.0
Cabbage, 66g,10.0
Red bean and red date," 200g
",30.0
Beef and onion," 70g
",0.0
Vegetable," 70g
",20.0
Scrambled egg with tomato," 60g
",0.0
Pigeon soup," 100g
",50.0
Orange, 100g,45.0
Beef and onion," 50g
",0.0
Vegetable," 30g
",20.0
Scrambled egg with tomato," 47g
",0.0
Pigeonsoup, 100g,50.0
Red bean and red date,"100g
",30.0
Rice," 80g
",70.0
Vegetable," 53g
",20.0
Beef and onion," 90g
",0.0
Pigeon soup," 80g
",50.0
Pigeon, 20g,50.0
Rice," 73g
",70.0
Pigeon, 30g,50.0
Red bean and red date soup," 100g
",30.0
Taro, 75g,50.0
"Carrot, green pepper and sheredded pork"," 70g
",17.5
Cabbage," 60g
",10.0
Fish soup, 200g,0.0
Steamed stuffed bun," 50g
",50.0
Noodles," 100g
",55.0
Fish soup, 100g,0.0
Red bean and red date soup," 220g
",30.0
Steamed carrot stuffed bun, 50g,35.0
Braised pork," 40g
",0.0
Needle mushroom," 40g
",15.0
Vegetable, 60g,20.0
Cabbage," 30g
",10.0
Roasted pigeon, 50g,50.0
Red bean and red date soup," 230g
",30.0
Noodles soup with vegetable and pork, 200g,27.5
Orange,"150g
",45.0
Cake, 30g,50.0
Noodles soup with vegetable and pork,  200g,27.5
Red bean and red date soup," 150g
",30.0
Duck egg," 74g
",0.0
Kiwi fruit, 100g,40.0
Rice," 97g
",70.0
Sword bean," 50g
",30.0
Needle mushroom," 35g
",15.0
Pork, 40g,0.0
Noodles with vegetable, 100g,55.0
Red bean and red date soup," 200g
",30.0
Duck egg," 70g
",0.0
Steamed stuffed bun,25g,50.0
Wonton," 360g
",60.0
Roasted pigeon,100g,50.0
Cherry, 56g,50.0
Noodles with vegetable," 200g
",55.0
Shrimp," 20g
",50.0
Roasted pigeon, 100g,50.0
Red bean and red date soup," 160g
",30.0
Duck egg," 72g
",0.0
Rice cake, 60g,70.0
"Beef, Chicken and seafood", 100g,0.0
Shrimp," 25 g
",50.0
Medicago polymorpha," 20 g
",50.0
Rice, 25 g,70.0
Steamed pork bun, 50 g,0.0
Orange, 200 g,45.0
Steamed pork bun," 25 g
",0.0
"6 Red dates
Red bean"," 40 g
",30.0
Egg, 25 g,0.0
Rice," 40 g
",70.0
Pigeon soup," 100 g
",50.0
Asparagus and medicago polymorpha, 30 g,50.0
Kiwi fruit," 167 g
",40.0
Orange, 150 g,45.0
Rice and steamed bun," 104 g
",70.0
Asparagus and cauliflower, 20 g,15.0
Sliced bread," 43 g
",75.0
Protein powder, 20 g,50.0
Red bean," 100 g
",30.0
"6 Red dates
Egg", 50 g,0.0
Rice," 110 g
",70.0
Sea fish," 100 g
",0.0
Celery," 40 g
",50.0
Cauliflower, 60 g,15.0
Kiwi fruit, 160 g,40.0
Noodles with mushroom and minced pork,  265 g,23.33
Red bean," 170 g
",30.0
Bread," 30 g
",75.0
Crucian carp," 100 g
",0.0
Soup," 100 g
",50.0
Asparagus and vegetable," 100 g
",20.0
Beef, 50 g,0.0
Rice," 75 g
",70.0
Crucian carp soup," 100 g
",0.0
Pumpkin pie," 50 g
",50.0
Beef and pig liver," 30 g
",0.0
Lettuce and vegetable, 50 g,15.0
Red bean and red date," 150 g
",30.0
Rice," 60 g
",70.0
Pork," 70 g
",0.0
Vegetable," 120 g
",20.0
Shepherd's purse with tofu soup, 60 g,15.0
Kiwi fruit, 150 g,40.0
Beef," 40 g
",0.0
Vegetable, 100 g,20.0
Red bean," 120 g
",30.0
Sea cucumber," 17 g
",50.0
Pumpkin pie, 30 g,50.0
Protein powder," 20 g
",50.0
Rice," 78 g
",70.0
Loach soup," 120 g
",50.0
Pork, 25 g,0.0
Porridge," 103 g
",50.0
Chinese cabbage," 50 g
",10.0
Steamed bean curd roll,"  103 g
",30.0
Beef, 40 g,0.0
Red bean soup," 150 g
",30.0
Loach soup," 220 g
",50.0
Rice," 76 g
",70.0
Vegetable," 230 g
",20.0
Mushroom," 40 g
",15.0
Pork rib soup, 100 g,0.0
Protein powder, 22 g,50.0
Loach soup, 200 g,50.0
Vegetable, 130 g,20.0
Taro," 70 g
",50.0
Sea cucumber," 16 g
",50.0
Loach soup, 220 g,50.0
Pork stuffed oil gluten," 45 g
",0.0
Shrimp," 40 g
",50.0
Spinach and celery, 80 g,50.0
Kiwi fruit, 78 g,40.0
Pork stuffed oil gluten," 47 g
",0.0
Shrimp, 40 g,50.0
Red date and red bean, 80 g,30.0
Steamed egg, 30 g,0.0
Steamed pork bun," 120 g
",0.0
Red date and red bean, 70 g,30.0
Pigeon soup," 40 g
",50.0
Lettuce, 90 g,10.0
Steamed pork dumplings," 42 g
",0.0
"Peanut, red bean and red date soup"," 136 g
",30.0
Loach soup," 200 g
",50.0
Dumpling, 160 g,50.0
Pickle noodles," 260 g
",55.0
Red date and red bean," 136 g
",30.0
Rice," 83 g
",70.0
Pork rib," 51 g
",0.0
"Mushroom, chinese cabbage and sliced pork"," 70 g
",8.33
Lettuce, 30 g,10.0
Scrambled egg with tomato,"   100 g
",0.0
Red bean and red date," 180 g
",30.0
Taro," 68 g
",50.0
Egg, 57 g,0.0
Rice," 54 g
",70.0
Steamed sea fish," 40 g
",0.0
Pork rib," 36 g
",0.0
Steamed pork bun," 100 g
",0.0
Cabbage," 30 g
",10.0
Fish," 20 g
",0.0
Steamed bread," 25 g
",75.0
Coarse grain," 127g
",50.0
Steamed minced meat with eggplant," 109g
",0.0
Chinese cabbage," 101g
",10.0
Braised pork ribs with carrot, 109g,17.5
Milk, 250ml,50.0
Steamed bread, 38 g,75.0
Steamed bread," 40 g
",75.0
Coarse grain," 128g
",50.0
Braised shredded pork and cabbage," 10g
",5.0
Green bean sprout and green pepper," 121g
",30.0
Fried sliced pork with green pepper and onion," 60g
",0.0
2 pieces of chocolate, 93 g,50.0
"
Coarse grain steamed bread"," 122g
",62.5
Boiled vegetable," 90g
",20.0
Coarse grain,"  127g
",50.0
Shredded pork with carrot and water bamboo," 50 g
",17.5
Lettuce," 119g
",10.0
Shepherd's purse meatball, 30g,50.0
Egg, 51 g,0.0
Coarse grain,"  125g
",50.0
Minced meat with zucchini," 105g
",50.0
Winter melon with scallion oil," 101g
",10.0
Shredded pork in Beijing sauce, 132g,25.0
Coarse grain steamed bread," 134g
",62.5
Boiled vegetable," 102g
",20.0
Egg, 60g,0.0
Steamed bread," 30g
",75.0
Coarse grain," 30g
",50.0
Cabbage, 55g,10.0
Bread, 47 g,75.0
"
Coarse grain"," 132g
",50.0
Pumpkin," 112g
",50.0
Sliced boiled duck,"107g
",0.0
Shredded lettuce and shredded pork,129g,0.0
"
Egg"," 67g
",0.0
Coarse grain steamed bread," 50g
",62.5
Boiled vegetable, 105g,20.0
Minced pork with Hangzhou cabbage," 100  g
",5.0
Steamed corn meatball," 50 g
",50.0
"
Steamed pork ribs with pumpkin"," 130 g
",0.0
Minced pork with cauliflower and carrot," 116 g
",16.67
Cabbage, 125 g,10.0
Steamed bread, 20 g,75.0
Chocolate," 42 g
",50.0
Biscuit, 100 g,50.0
"
Coarse grain", 129 g,50.0
"
Minced meat with tomato and cabbage","  50 g
",10.0
Sweet potato leaves," 116 g
",80.0
Sliced pork with king oyster mushroom and fungus, 115 g,7.5
Steamed bread, 36 g,75.0
"
Coarse grain"," 128 g
",50.0
Minced pork with white gourd and carrot," 115 g
",17.5
Sliced pork with king oyster mushroom and fungus, 130 g,7.5
"
Egg"," 84 g
",0.0
