dish,net,Estimated_GI,net_cleaned,Net_Carbs,GL
Sliced pork with asparagus and fungus," 54 g
",0.0,54.0,16.2,0.0
Minced pork with cucumber," 10 g
",0.0,10.0,3.0,0.0
Coarse grain, 70 g,40.0,70.0,21.0,8.4
Coarse grain," 100 g
",40.0,100.0,30.0,12.0
Minced pork and cowpea," 50g
",0.0,50.0,15.0,0.0
Roasted duck slices with green pepper and onion, 50g,50.0,50.0,15.0,7.5
Coarse grain," 228 g
",40.0,228.0,68.39999999999999,27.359999999999996
Shredded pork with celery," 104 g
",0.0,104.0,31.2,0.0
Spinach," 100 g
",50.0,100.0,30.0,15.0
Steamed fish, 119 g,50.0,119.0,35.699999999999996,17.849999999999998
Sliced pork with Dutch bean and yam," 130 g
",0.0,130.0,39.0,0.0
Shredded cabbage and carrot," 121 g
",40.0,121.0,36.3,14.52
Shredded pork with broccoli," 121 g
",0.0,121.0,36.3,0.0
Coarse grain, 229 g,40.0,229.0,68.7,27.48
Coarse grain steamed bread," 145 g
",40.0,145.0,43.5,17.4
Boiled vegetable, 107 g,50.0,107.0,32.1,16.05
Sliced boiled duck, 99 g,50.0,99.0,29.7,14.85
"
Shredded pork with parsley and carrot", 111 g,20.0,111.0,33.3,6.66
"
Vegetable"," 110 g
",50.0,110.0,33.0,16.5
Coarse grain, 130 g,40.0,130.0,39.0,15.6
Egg," 69 g
",30.0,69.0,20.7,6.21
Coarse grain steamed bread," 123 g
",40.0,123.0,36.9,14.76
Boiled vegetable, 137 g,50.0,137.0,41.1,20.55
Steamed corn meatball," 88 g
",50.0,88.0,26.4,13.2
Minced pork with cauliflower and carrot," 111g
",19.166666666666668,111.0,33.3,6.3825
Vegetable," 103 g
",50.0,103.0,30.9,15.45
Coarse grain, 133 g,40.0,133.0,39.9,15.96
Braised duck with carrots," 115 g
",40.0,115.0,34.5,13.8
Minced pork with hangzhou cabbage," 127g
",0.0,127.0,38.1,0.0
Cabbage," 119 g
",50.0,119.0,35.699999999999996,17.849999999999998
Coarse grain, 138 g,40.0,138.0,41.4,16.56
Bread, 60 g,50.0,60.0,18.0,9.0
Egg," 64 g
",30.0,64.0,19.2,5.76
Coarse grain steamed bread," 134 g
",40.0,134.0,40.199999999999996,16.08
Boiled vegetable, 102 g,50.0,102.0,30.599999999999998,15.3
Sliced pork with king oyster mushroom and fungus," 133 g
",6.25,133.0,39.9,2.49375
Minced pork with tomato and cabbage," 119 g
",0.0,119.0,35.699999999999996,0.0
Sweet potato leaves," 117 g
",50.0,117.0,35.1,17.55
Coarse grain, 132 g,40.0,132.0,39.6,15.84
Steamed chicken with mushroom," 129 g
",12.5,129.0,38.699999999999996,4.8374999999999995
Minced pork with white gourd and carrot," 118 g
",20.0,118.0,35.4,7.08
Hangzhou cabbage," 119 g
",50.0,119.0,35.699999999999996,17.849999999999998
Coarse grain, 133 g,40.0,133.0,39.9,15.96
Pancake," 50 g
",50.0,50.0,15.0,7.5
Coarse grain steamed bread," 134 g
",40.0,134.0,40.199999999999996,16.08
Boiled vegetable, 102 g,50.0,102.0,30.599999999999998,15.3
Scrambled egg with tomato," 156 g
",30.0,156.0,46.8,14.04
Shredded pork with green pepper and carrot," 105 g
",20.0,105.0,31.5,6.3
Hangzhou cabbage," 111 g
",50.0,111.0,33.3,16.65
Coarse grain, 130 g,40.0,130.0,39.0,15.6
Coarse grain steamed bread," 75g
",40.0,75.0,22.5,9.0
Boiled vegetable, 102 g,50.0,102.0,30.599999999999998,15.3
Pork stuffed green pepper," 101 g
",0.0,101.0,30.299999999999997,0.0
Shredded pork with tomato and cabbage," 111 g
",0.0,111.0,33.3,0.0
Lettuce," 111 g
",50.0,111.0,33.3,16.65
Coarse grain, 136 g,40.0,136.0,40.8,16.32
Steamed chicken with mushroom," 106 g
",12.5,106.0,31.799999999999997,3.9749999999999996
Minced pork with cauliflower and cabbage," 117 g
",8.75,117.0,35.1,3.07125
Chinese cabbage," 112 g
",15.0,112.0,33.6,5.04
Coarse grain, 135 g,40.0,135.0,40.5,16.2
Coarse grain steamed bread," 132 g
",40.0,132.0,39.6,15.84
Boiled vegetable, 123 g,50.0,123.0,36.9,18.45
Braised pork with tofu skin knot," 107 g
",0.0,107.0,32.1,0.0
Shredded pork and celery," 112 g
",0.0,112.0,33.6,0.0
Spinach," 114 g
",50.0,114.0,34.199999999999996,17.099999999999998
Coarse grain, 143 g,40.0,143.0,42.9,17.16
Sliced pork with asparagus and fungus," 144 g
",0.0,144.0,43.199999999999996,0.0
Sliced pork with cucumber," 117 g
",0.0,117.0,35.1,0.0
Cabbage," 102 g
",50.0,102.0,30.599999999999998,15.3
Coarse grain, 130 g,40.0,130.0,39.0,15.6
Egg," 63 g
",30.0,63.0,18.9,5.67
Coarse grain steamed bread," 137 g
",40.0,137.0,41.1,16.44
Boiled vegetable, 107 g,50.0,107.0,32.1,16.05
Roasted river carp with scallion," 141 g
",50.0,141.0,42.3,21.15
Minced pork with cowpea," 113 g
",0.0,113.0,33.9,0.0
Vegetable," 119 g
",50.0,119.0,35.699999999999996,17.849999999999998
Coarse grain, 127 g,40.0,127.0,38.1,15.24
Sliced pork with snow pea and yam," 108 g
",0.0,108.0,32.4,0.0
Sliced pork with broccoli," 117 g
",0.0,117.0,35.1,0.0
Sliced cabbage and carrot," 121 g
",40.0,121.0,36.3,14.52
Coarse grain, 135 g,40.0,135.0,40.5,16.2
Egg," 64 g
",30.0,64.0,19.2,5.76
Coarse grain steamed bread," 134 g
",40.0,134.0,40.199999999999996,16.08
Boiled vegetable, 105 g,50.0,105.0,31.5,15.75
Stir-fried fish with tomato," 141 g
",50.0,141.0,42.3,21.15
Minced pork with yam and corn," 115 g
",0.0,115.0,34.5,0.0
Hangzhou cabbage," 115 g
",50.0,115.0,34.5,17.25
Coarse grain, 128 g,40.0,128.0,38.4,15.36
Roast duck with carrot," 144 g
",40.0,144.0,43.199999999999996,17.279999999999998
Sliced pork with lettuce and carrot," 135 g
",20.0,135.0,40.5,8.1
Green vegetable," 127 g
",50.0,127.0,38.1,19.05
Coarse grain, 278 g,40.0,278.0,83.39999999999999,33.35999999999999
Egg," 64 g
",30.0,64.0,19.2,5.76
Coarse grain steamed bread," 130 g
",40.0,130.0,39.0,15.6
Boiled vegetable, 102 g,50.0,102.0,30.599999999999998,15.3
Sliced pork with green pepper and mushroom," 112 g
",6.25,112.0,33.6,2.1
Braised shredded pork and cabbage," 110 g
",0.0,110.0,33.0,0.0
Green bean sprout with green pepper," 119 g
",50.0,119.0,35.699999999999996,17.849999999999998
Coarse grain, 138 g,40.0,138.0,41.4,16.56
Diced duck with lettuce and carrot," 130 g
",40.0,130.0,39.0,15.6
Sliced pork with green pepper and water bamboo," 121 g
",0.0,121.0,36.3,0.0
Vegetable," 113 g
",50.0,113.0,33.9,16.95
Coarse grain, 133 g,40.0,133.0,39.9,15.96
Egg," 69 g
",30.0,69.0,20.7,6.21
Coarse grain steamed bread," 145 g
",40.0,145.0,43.5,17.4
Boiled vegetable, 123 g,50.0,123.0,36.9,18.45
Grilled pork chop with green onion," 115 g
",0.0,115.0,34.5,0.0
Minced pork with white gourd," 161g
",0.0,161.0,48.3,0.0
Chinese cabbage," 122 g
",15.0,122.0,36.6,5.49
Coarse grain, 136 g,40.0,136.0,40.8,16.32
Steamed chicken with scallion," 123 g
",50.0,123.0,36.9,18.45
Shredded pork with cucumber and carrot," 112 g
",20.0,112.0,33.6,6.72
Radish," 128 g
",50.0,128.0,38.4,19.2
Coarse grain, 132 g,40.0,132.0,39.6,15.84
Fried egg and starch coated chicken slices," 123 g
",30.0,123.0,36.9,11.07
