dish,net,Estimated_GI,net_cleaned,Net_Carbs,GL
Steamed bean curd roll,"  40 g
",50.0,40.0,12.0,6.0
Shrimp, 12 g,50.0,12.0,3.5999999999999996,1.7999999999999998
Bread, 30 g,50.0,30.0,9.0,4.5
Mushroom and tofu soup," 100 ml
",12.5,100.0,30.0,3.75
Shrimps," 40 g
",50.0,40.0,12.0,6.0
Roasted halibut," 20 g
",50.0,20.0,6.0,3.0
Cabbage," 100 g
",50.0,100.0,30.0,15.0
"Winter bamboo shoot, water-chestnut and sausage", 100 g,50.0,100.0,30.0,15.0
Milk," 200 ml
",50.0,200.0,60.0,30.0
Oats," 30 g
",50.0,30.0,9.0,4.5
Sesame and nut," 15g
",50.0,15.0,4.5,2.25
Egg," 40 g
",30.0,40.0,12.0,3.6
Bread," 60 g
",50.0,60.0,18.0,9.0
Taro, 40 g,50.0,40.0,12.0,6.0
Noodles," 50 g
",50.0,50.0,15.0,7.5
"Lettuce, shredded asparagus and fried vegetable soup"," 200 ml
",50.0,200.0,60.0,30.0
Tofu skin knot," 60 g
",50.0,60.0,18.0,9.0
Pork rib, 40 g,0.0,40.0,12.0,0.0
Pork meatball and vermicelli soup," 100 ml
",0.0,100.0,30.0,0.0
Shrimp," 30 g
",50.0,30.0,9.0,4.5
Vegetable," 50 g
",50.0,50.0,15.0,7.5
Pig feet, 40 g,50.0,40.0,12.0,6.0
Kiwi fruit, 140 g,50.0,140.0,42.0,21.0
Beef soup," 200 ml
",50.0,200.0,60.0,30.0
Pan fried dumpling, 50 g,50.0,50.0,15.0,7.5
Noodles soup," 250 ml
",50.0,250.0,75.0,37.5
Crab meat, 100 g,50.0,100.0,30.0,15.0
Yogurt," 130 g
",50.0,130.0,39.0,19.5
Nut," 10 g
",50.0,10.0,3.0,1.5
Blueberry, 10 g,50.0,10.0,3.0,1.5
"Beef, oily bean curd and vermicelli soup"," 250 g
",50.0,250.0,75.0,37.5
Fried celery with dried bean curd," 20 g
",50.0,20.0,6.0,3.0
Fried bamboo shoots," 20 g
",50.0,20.0,6.0,3.0
Roasted flatfish," 30 g
",50.0,30.0,9.0,4.5
Shrimp, 30 g,50.0,30.0,9.0,4.5
Milk and coffee," 200 ml
",50.0,200.0,60.0,30.0
Egg," 55 g
",30.0,55.0,16.5,4.95
Bread, 60 g,50.0,60.0,18.0,9.0
Curry rice," 50 g
",50.0,50.0,15.0,7.5
Shrimp, 20 g,50.0,20.0,6.0,3.0
Orange, 120 g,50.0,120.0,36.0,18.0
Celery and sliced pork," 60 g
",0.0,60.0,18.0,0.0
Fried bamboo shoots," 30 g
",50.0,30.0,9.0,4.5
Vegetable," 50 g
",50.0,50.0,15.0,7.5
Shrimp," 50 g
",50.0,50.0,15.0,7.5
"Beef, Oily bean curd and vermicelli soup", 170 g,50.0,170.0,51.0,25.5
Milk," 200 ml
",50.0,200.0,60.0,30.0
Egg," 41 g
",30.0,41.0,12.299999999999999,3.6899999999999995
Taro," 48 g
",50.0,48.0,14.399999999999999,7.199999999999999
Rye bread, 70 g,50.0,70.0,21.0,10.5
Deep-fried spare ribs with spicy salt," 60 g
",50.0,60.0,18.0,9.0
Chinese cabbage," 100 g
",15.0,100.0,30.0,4.5
Potato and sword bean," 100 g
",50.0,100.0,30.0,15.0
Braised tofu with green bean," 80 g
",50.0,80.0,24.0,12.0
Rice," 50 g
",50.0,50.0,15.0,7.5
Sugar free yogurt, 135 g,50.0,135.0,40.5,20.25
Kiwi, 120 g,50.0,120.0,36.0,18.0
Bamboo shoot soup with fresh and pickled streaky pork," 160 g
",0.0,160.0,48.0,0.0
Fried shrimp," 80 g
",50.0,80.0,24.0,12.0
Celery and smoked bean curd," 80 g
",50.0,80.0,24.0,12.0
Pea, 50 g,50.0,50.0,15.0,7.5
Milk," 200 ml
",50.0,200.0,60.0,30.0
Egg," 43 g
",30.0,43.0,12.9,3.87
Taro," 63 g
",50.0,63.0,18.9,9.45
Toast, 75 g,50.0,75.0,22.5,11.25
Cabbage," 80 g
",50.0,80.0,24.0,12.0
Cauliflower," 60 g
",17.5,60.0,18.0,3.15
Braised big pork meatball,"  60 g
",0.0,60.0,18.0,0.0
Scrambled egg with tomato," 100 g
",30.0,100.0,30.0,9.0
Rice, 50 g,50.0,50.0,15.0,7.5
Celery and smoked bean curd," 70 g
",50.0,70.0,21.0,10.5
Taro," 40 g
",50.0,40.0,12.0,6.0
Pea," 40 g
",50.0,40.0,12.0,6.0
Dry-fried hairtail," 70 g
",50.0,70.0,21.0,10.5
Black fungus and bamboo shoot soup, 130 g,50.0,130.0,39.0,19.5
Milk," 200 ml
",50.0,200.0,60.0,30.0
Egg," 40 g
",30.0,40.0,12.0,3.6
Taro," 50 g
",50.0,50.0,15.0,7.5
Toast," 60 g
",50.0,60.0,18.0,9.0
Sesame and walnut, 20 g,50.0,20.0,6.0,3.0
Sauerkraut fish," 100 g
",50.0,100.0,30.0,15.0
Bean," 50 g
",50.0,50.0,15.0,7.5
Cabbage," 100 g
",50.0,100.0,30.0,15.0
Potato," 30 g
",50.0,30.0,9.0,4.5
Tofu soup, 100 ml,50.0,100.0,30.0,15.0
Spinach," 100 g
",50.0,100.0,30.0,15.0
Taro," 50 g
",50.0,50.0,15.0,7.5
Fried egg with leek," 40 g
",30.0,40.0,12.0,3.6
Hairtail," 40 g
",50.0,40.0,12.0,6.0
Chinese cabbage and pork meatball soup, 150 g,7.5,150.0,45.0,3.375
Milk," 200 ml
",50.0,200.0,60.0,30.0
Egg," 40 g
",30.0,40.0,12.0,3.6
Taro," 30 g
",50.0,30.0,9.0,4.5
Toast," 50 g
",50.0,50.0,15.0,7.5
Sesame and walnut, 20 g,50.0,20.0,6.0,3.0
Noodles," 50 g
",50.0,50.0,15.0,7.5
Shredded bamboo shoot and pickle," 50 g
",50.0,50.0,15.0,7.5
Lettuce," 60 g
",50.0,60.0,18.0,9.0
Celery and bean curd blade," 100 g
",50.0,100.0,30.0,15.0
Beef slice, 100 g,50.0,100.0,30.0,15.0
Celery and smoked bean curd," 100 g
",50.0,100.0,30.0,15.0
Shrimp," 70 g
",50.0,70.0,21.0,10.5
Pork pancake," 30 g
",0.0,30.0,9.0,0.0
Cabbage and meatball soup, 200 g,50.0,200.0,60.0,30.0
Wonton," 50 g
",72.5,50.0,15.0,10.875
Poached egg, 50 g,30.0,50.0,15.0,4.5
Fried halibut with celery," 100 g
",50.0,100.0,30.0,15.0
Stewed bamboo shoots," 70 g
",50.0,70.0,21.0,10.5
Boiled shrimp," 100 g
",50.0,100.0,30.0,15.0
Tofu skin knot, 100 g,50.0,100.0,30.0,15.0
Orange, 120 g,50.0,120.0,36.0,18.0
Celery and smoked bean curd," 100 g
",50.0,100.0,30.0,15.0
Boiled shrimp," 80 g
",50.0,80.0,24.0,12.0
Fried egg with leek," 50 g
",30.0,50.0,15.0,4.5
Tomato and egg soup, 200 g,30.0,200.0,60.0,18.0
Poached egg," 40 g
",30.0,40.0,12.0,3.6
Toast," 60 g
",50.0,60.0,18.0,9.0
Coffee milk, 200 ml,50.0,200.0,60.0,30.0
River shrimp," 100 g
",50.0,100.0,30.0,15.0
White fish," 200 g
",50.0,200.0,60.0,30.0
Medicago polymorpha, 100 g,50.0,100.0,30.0,15.0
Chinese cabbage and potato soup," 200 g
",15.0,200.0,60.0,9.0
Boiled shrimp," 50 g
",50.0,50.0,15.0,7.5
Pizza," 100 g
",50.0,100.0,30.0,15.0
Roast pig feet, 40 g,50.0,40.0,12.0,6.0
Croissants," 66 g
",50.0,66.0,19.8,9.9
Egg," 50 g
",30.0,50.0,15.0,4.5
Taro," 40 g
",50.0,40.0,12.0,6.0
Coffee milk, 200 ml,50.0,200.0,60.0,30.0
Chinese cabbage and rice cake, 60 g,15.0,60.0,18.0,2.7
Egg," 35 g
",30.0,35.0,10.5,3.15
Taro," 50 g
",50.0,50.0,15.0,7.5
Coffee milk," 200 ml
",50.0,200.0,60.0,30.0
Pizza, 100 g,50.0,100.0,30.0,15.0
Guangdong cabbage," 100 g
",50.0,100.0,30.0,15.0
Eggplant," 50 g
",30.0,50.0,15.0,4.5
Lettuce and fungus," 100 g
",50.0,100.0,30.0,15.0
Dried bamboo shoots with pork," 100 g
",0.0,100.0,30.0,0.0
Rice, 50 g,50.0,50.0,15.0,7.5
Candy,  5 g,50.0,5.0,1.5,0.75
Candy,  5 g,50.0,5.0,1.5,0.75
Braised fish," 90 g
",50.0,90.0,27.0,13.5
Broccoli," 80 g
",50.0,80.0,24.0,12.0
Vermicelli," 70 g
",50.0,70.0,21.0,10.5
Spinach and pork meatball soup, 200 g,0.0,200.0,60.0,0.0
Egg," 38 g
",30.0,38.0,11.4,3.42
Taro," 50 g
",50.0,50.0,15.0,7.5
Coffee milk," 200 ml
",50.0,200.0,60.0,30.0
Rye bread, 95 g,50.0,95.0,28.5,14.25
Mushroom and vegetable," 100 g
",12.5,100.0,30.0,3.75
Shrimp with pepper and salt," 50 g
",50.0,50.0,15.0,7.5
Fried fungus with broccoli," 70 g
",50.0,70.0,21.0,10.5
Yogurt," 100 g
",50.0,100.0,30.0,15.0
Oily bean curd and Chinese cabbage, 50 g,15.0,50.0,15.0,2.25
Celery and smoked bean curd," 100 g
",50.0,100.0,30.0,15.0
Agrocybe cylindracea," 50 g
",50.0,50.0,15.0,7.5
Lotus root," 50 g
",50.0,50.0,15.0,7.5
Pork rib soup with radish, 200 g,0.0,200.0,60.0,0.0
Egg," 35 g
",30.0,35.0,10.5,3.15
Bread," 60 g
",50.0,60.0,18.0,9.0
Lotus nut and lily soup, 200 ml,50.0,200.0,60.0,30.0
Celery and smoked bean curd," 80 g
",50.0,80.0,24.0,12.0
Dried cabbage," 60 g
",50.0,60.0,18.0,9.0
Cauliflower," 50 g
",17.5,50.0,15.0,2.625
Dry fried yellow croaker," 100 g
",50.0,100.0,30.0,15.0
Yogurt, 100 g,50.0,100.0,30.0,15.0
Tomato," 40 g
",50.0,40.0,12.0,6.0
Cucumber, 60 g,50.0,60.0,18.0,9.0
Boiled river shrimp," 80 g
",50.0,80.0,24.0,12.0
Cabbage," 80 g
",50.0,80.0,24.0,12.0
Pea," 50 g
",50.0,50.0,15.0,7.5
Roast pig's feet," 30 g
",50.0,30.0,9.0,4.5
"Radish, fungus and pork rib soup", 200 g,0.0,200.0,60.0,0.0
Rice," 100g
",50.0,100.0,30.0,15.0
Cabbage," 100g
",50.0,100.0,30.0,15.0
Fried mushroom and vegetable," 50g
",12.5,50.0,15.0,1.875
Braised pork," 27g
",0.0,27.0,8.1,0.0
Fish, 50g,50.0,50.0,15.0,7.5
Rice," 75g
",50.0,75.0,22.5,11.25
Vegetable," 100g
",50.0,100.0,30.0,15.0
Fish," 50g
",50.0,50.0,15.0,7.5
Beef, 20g,50.0,20.0,6.0,3.0
Red bean and red date soup1," 00g
",50.0,0.0,0.0,0.0
Duck egg, 60g,30.0,60.0,18.0,5.4
Rice," 50g
",50.0,50.0,15.0,7.5
Crown daisy," 50g
",50.0,50.0,15.0,7.5
Scrambled egg with tomato," 40g
",30.0,40.0,12.0,3.6
"Carrot, yam and pig feet soup", 50g,40.0,50.0,15.0,6.0
Apple, 70g,50.0,70.0,21.0,10.5
Rice," 50g
",50.0,50.0,15.0,7.5
Cabbage," 50g
",50.0,50.0,15.0,7.5
Duck," 20g
",50.0,20.0,6.0,3.0
"Carrot, yam and pig feet soup", 50 g,40.0,50.0,15.0,6.0
Red bean and red date," 120 g
",50.0,120.0,36.0,18.0
Duck egg," 60g
",30.0,60.0,18.0,5.4
Protein powder, 15 g,50.0,15.0,4.5,2.25
Vegetable," 100g
",50.0,100.0,30.0,15.0
Rice," 100g
",50.0,100.0,30.0,15.0
Steamed bean curd roll," 50g
",50.0,50.0,15.0,7.5
Apple," 70g
",50.0,70.0,21.0,10.5
"Carrot, yam, bamboo shoot and pork soup", 100g,20.0,100.0,30.0,6.0
Vegetable," 120g
",50.0,120.0,36.0,18.0
Steamed bean curd roll," 70g
",50.0,70.0,21.0,10.5
"Carrot, yam, bamboo shoot and pig feet soup", 60 g,40.0,60.0,18.0,7.2
Red bean and red date," 120g
",50.0,120.0,36.0,18.0
Duck egg," 60g
",30.0,60.0,18.0,5.4
Rice cake, 20g,50.0,20.0,6.0,3.0
Rice," 100g
",50.0,100.0,30.0,15.0
Cabbage," 50g
",50.0,50.0,15.0,7.5
Celery," 50g
",50.0,50.0,15.0,7.5
Shepherd’s purse and minced pork stuffed tofu skin," 75g
",0.0,75.0,22.5,0.0
Steamed egg, 25g,30.0,25.0,7.5,2.25
Apple, 100g,50.0,100.0,30.0,15.0
Rice," 90g
",50.0,90.0,27.0,13.5
Celery," 90g
",50.0,90.0,27.0,13.5
Shepherd’s purse and minced pork stuffed tofu skin," 70g
",0.0,70.0,21.0,0.0
Fish," 20g
",50.0,20.0,6.0,3.0
Steamed bean curd roll, 25g,50.0,25.0,7.5,3.75
Red bean and red date," 100g
",50.0,100.0,30.0,15.0
Duck egg," 60g
",30.0,60.0,18.0,5.4
Steamed pork dumplings, 30g,0.0,30.0,9.0,0.0
Protein powder, 24g,50.0,24.0,7.199999999999999,3.5999999999999996
Rice," 70g
",50.0,70.0,21.0,10.5
Garlic," 50g
",50.0,50.0,15.0,7.5
Vegetable," 50g
",50.0,50.0,15.0,7.5
Shrimp, 50g,50.0,50.0,15.0,7.5
Apple, 100g,50.0,100.0,30.0,15.0
Rice," 90g
",50.0,90.0,27.0,13.5
Garlic," 60g
",50.0,60.0,18.0,9.0
Vegetable," 50g
",50.0,50.0,15.0,7.5
Shrimp," 50g
",50.0,50.0,15.0,7.5
Cabbage, 30g,50.0,30.0,9.0,4.5
Red bean and red date," 100g
",50.0,100.0,30.0,15.0
Duck egg," 60g
",30.0,60.0,18.0,5.4
Rice cake, 20g,50.0,20.0,6.0,3.0
Rice," 95g
",50.0,95.0,28.5,14.25
Vegetable," 60g
",50.0,60.0,18.0,9.0
Bamboo shoot and shredded tofu skin," 60g
",50.0,60.0,18.0,9.0
Meatball," 40g
",50.0,40.0,12.0,6.0
Shrimp, 19g,50.0,19.0,5.7,2.85
Apple," 150g
",50.0,150.0,45.0,22.5
Sugar-fried chestnuts, 50g,50.0,50.0,15.0,7.5
Rice," 90g
",50.0,90.0,27.0,13.5
Vegetable," 40g
",50.0,40.0,12.0,6.0
Bamboo shoot and shredded tofu skin," 60g
",50.0,60.0,18.0,9.0
Meatball," 29g
",50.0,29.0,8.7,4.35
Tofu skin," 42g
",50.0,42.0,12.6,6.3
Cabbage, 66g,50.0,66.0,19.8,9.9
Red bean and red date," 200g
",50.0,200.0,60.0,30.0
Duck egg," 60g
",30.0,60.0,18.0,5.4
Steamed pork dumplings, 30g,0.0,30.0,9.0,0.0
Rice," 100g
",50.0,100.0,30.0,15.0
Beef and onion," 70g
",50.0,70.0,21.0,10.5
Vegetable," 70g
",50.0,70.0,21.0,10.5
Scrambled egg with tomato," 60g
",30.0,60.0,18.0,5.4
Pigeon soup," 100g
",50.0,100.0,30.0,15.0
Orange, 100g,50.0,100.0,30.0,15.0
Rice," 50g
",50.0,50.0,15.0,7.5
Beef and onion," 50g
",50.0,50.0,15.0,7.5
Vegetable," 30g
",50.0,30.0,9.0,4.5
Scrambled egg with tomato," 47g
",30.0,47.0,14.1,4.23
Pigeonsoup, 100g,50.0,100.0,30.0,15.0
Red bean and red date,"100g
",50.0,100.0,30.0,15.0
Duck egg," 60g
",30.0,60.0,18.0,5.4
Steamed pork dumplings, 30g,0.0,30.0,9.0,0.0
Rice," 80g
",50.0,80.0,24.0,12.0
Vegetable," 53g
",50.0,53.0,15.899999999999999,7.949999999999999
Beef and onion," 90g
",50.0,90.0,27.0,13.5
Pigeon soup," 80g
",50.0,80.0,24.0,12.0
Pigeon, 20g,50.0,20.0,6.0,3.0
Rice," 73g
",50.0,73.0,21.9,10.95
Vegetable," 40g
",50.0,40.0,12.0,6.0
Beef and onion," 70g
",50.0,70.0,21.0,10.5
Pigeon, 30g,50.0,30.0,9.0,4.5
Red bean and red date soup," 100g
",50.0,100.0,30.0,15.0
Duck egg," 60g
",30.0,60.0,18.0,5.4
Taro, 75g,50.0,75.0,22.5,11.25
Rice," 90g
",50.0,90.0,27.0,13.5
"Carrot, green pepper and sheredded pork"," 70g
",20.0,70.0,21.0,4.2
Cabbage," 60g
",50.0,60.0,18.0,9.0
Fish soup, 200g,50.0,200.0,60.0,30.0
Steamed stuffed bun," 50g
",50.0,50.0,15.0,7.5
Apple, 100g,50.0,100.0,30.0,15.0
Noodles," 100g
",50.0,100.0,30.0,15.0
Fish soup, 100g,50.0,100.0,30.0,15.0
Red bean and red date soup," 220g
",50.0,220.0,66.0,33.0
Duck egg," 60g
",30.0,60.0,18.0,5.4
Steamed carrot stuffed bun, 50g,40.0,50.0,15.0,6.0
Rice," 100g
",50.0,100.0,30.0,15.0
Braised pork," 40g
",0.0,40.0,12.0,0.0
Needle mushroom," 40g
",12.5,40.0,12.0,1.5
Vegetable, 60g,50.0,60.0,18.0,9.0
Rice," 90g
",50.0,90.0,27.0,13.5
Vegetable," 50g
",50.0,50.0,15.0,7.5
Cabbage," 30g
",50.0,30.0,9.0,4.5
Roasted pigeon, 50g,50.0,50.0,15.0,7.5
Red bean and red date soup," 230g
",50.0,230.0,69.0,34.5
Duck egg, 60g,30.0,60.0,18.0,5.4
Noodles soup with vegetable and pork, 200g,0.0,200.0,60.0,0.0
Orange,"150g
",50.0,150.0,45.0,22.5
Cake, 30g,50.0,30.0,9.0,4.5
Noodles soup with vegetable and pork,  200g,0.0,200.0,60.0,0.0
Red bean and red date soup," 150g
",50.0,150.0,45.0,22.5
Duck egg," 74g
",30.0,74.0,22.2,6.66
Steamed pork dumplings, 30g,0.0,30.0,9.0,0.0
Kiwi fruit, 100g,50.0,100.0,30.0,15.0
Rice," 97g
",50.0,97.0,29.099999999999998,14.55
Celery," 50g
",50.0,50.0,15.0,7.5
Sword bean," 50g
",50.0,50.0,15.0,7.5
Needle mushroom," 35g
",12.5,35.0,10.5,1.3125
Pork, 40g,0.0,40.0,12.0,0.0
Apple, 100g,50.0,100.0,30.0,15.0
Noodles with vegetable, 100g,50.0,100.0,30.0,15.0
Red bean and red date soup," 200g
",50.0,200.0,60.0,30.0
Duck egg," 70g
",30.0,70.0,21.0,6.3
Steamed stuffed bun,25g,50.0,25.0,7.5,3.75
Wonton," 360g
",72.5,360.0,108.0,78.3
Roasted pigeon,100g,50.0,100.0,30.0,15.0
Cherry, 56g,50.0,56.0,16.8,8.4
Noodles with vegetable," 200g
",50.0,200.0,60.0,30.0
Shrimp," 20g
",50.0,20.0,6.0,3.0
Roasted pigeon, 100g,50.0,100.0,30.0,15.0
Red bean and red date soup," 160g
",50.0,160.0,48.0,24.0
Duck egg," 72g
",30.0,72.0,21.599999999999998,6.479999999999999
Rice cake, 60g,50.0,60.0,18.0,9.0
"Beef, Chicken and seafood", 100g,50.0,100.0,30.0,15.0
Shrimp," 25 g
",50.0,25.0,7.5,3.75
Medicago polymorpha," 20 g
",50.0,20.0,6.0,3.0
Rice, 25 g,50.0,25.0,7.5,3.75
Steamed pork bun, 50 g,0.0,50.0,15.0,0.0
Orange, 200 g,50.0,200.0,60.0,30.0
Steamed pork bun," 25 g
",0.0,25.0,7.5,0.0
Taro," 40 g
",50.0,40.0,12.0,6.0
"6 Red dates
Red bean"," 40 g
",50.0,40.0,12.0,6.0
Egg, 25 g,30.0,25.0,7.5,2.25
Rice," 40 g
",50.0,40.0,12.0,6.0
Pigeon soup," 100 g
",50.0,100.0,30.0,15.0
Asparagus and medicago polymorpha, 30 g,50.0,30.0,9.0,4.5
Kiwi fruit," 167 g
",50.0,167.0,50.1,25.05
Orange, 150 g,50.0,150.0,45.0,22.5
Rice and steamed bun," 104 g
",50.0,104.0,31.2,15.6
Pigeon soup," 100 g
",50.0,100.0,30.0,15.0
Asparagus and cauliflower, 20 g,17.5,20.0,6.0,1.05
Sliced bread," 43 g
",50.0,43.0,12.9,6.45
Protein powder, 20 g,50.0,20.0,6.0,3.0
Red bean," 100 g
",50.0,100.0,30.0,15.0
"6 Red dates
Egg", 50 g,30.0,50.0,15.0,4.5
Orange, 200 g,50.0,200.0,60.0,30.0
Rice," 110 g
",50.0,110.0,33.0,16.5
Sea fish," 100 g
",50.0,100.0,30.0,15.0
Celery," 40 g
",50.0,40.0,12.0,6.0
Cauliflower, 60 g,17.5,60.0,18.0,3.15
Kiwi fruit, 160 g,50.0,160.0,48.0,24.0
Noodles with mushroom and minced pork,  265 g,6.25,265.0,79.5,4.96875
Red bean," 170 g
",50.0,170.0,51.0,25.5
Bread," 30 g
",50.0,30.0,9.0,4.5
Egg, 50 g,30.0,50.0,15.0,4.5
Rice," 100 g
",50.0,100.0,30.0,15.0
Crucian carp," 100 g
",50.0,100.0,30.0,15.0
Soup," 100 g
",50.0,100.0,30.0,15.0
Asparagus and vegetable," 100 g
",50.0,100.0,30.0,15.0
Beef, 50 g,50.0,50.0,15.0,7.5
Rice," 75 g
",50.0,75.0,22.5,11.25
Crucian carp soup," 100 g
",50.0,100.0,30.0,15.0
Pumpkin pie," 50 g
",50.0,50.0,15.0,7.5
Beef and pig liver," 30 g
",50.0,30.0,9.0,4.5
Lettuce and vegetable, 50 g,50.0,50.0,15.0,7.5
Orange, 200 g,50.0,200.0,60.0,30.0
Red bean and red date," 150 g
",50.0,150.0,45.0,22.5
Pumpkin pie," 50 g
",50.0,50.0,15.0,7.5
Egg, 50 g,30.0,50.0,15.0,4.5
Rice," 60 g
",50.0,60.0,18.0,9.0
Pork," 70 g
",0.0,70.0,21.0,0.0
Steamed bean curd roll,"  50 g
",50.0,50.0,15.0,7.5
Vegetable," 120 g
",50.0,120.0,36.0,18.0
Shepherd's purse with tofu soup, 60 g,50.0,60.0,18.0,9.0
Kiwi fruit, 150 g,50.0,150.0,45.0,22.5
Rice," 70 g
",50.0,70.0,21.0,10.5
Beef," 40 g
",50.0,40.0,12.0,6.0
Steamed bean curd roll,"  40 g
",50.0,40.0,12.0,6.0
Vegetable, 100 g,50.0,100.0,30.0,15.0
Egg," 60 g
",30.0,60.0,18.0,5.4
Red bean," 120 g
",50.0,120.0,36.0,18.0
Sea cucumber," 17 g
",50.0,17.0,5.1,2.55
Pumpkin pie, 30 g,50.0,30.0,9.0,4.5
Protein powder," 20 g
",50.0,20.0,6.0,3.0
Orange, 200 g,50.0,200.0,60.0,30.0
Rice," 78 g
",50.0,78.0,23.4,11.7
Vegetable," 125 g
",50.0,125.0,37.5,18.75
Loach soup," 120 g
",50.0,120.0,36.0,18.0
Pork, 25 g,0.0,25.0,7.5,0.0
Porridge," 103 g
",50.0,103.0,30.9,15.45
Chinese cabbage," 50 g
",15.0,50.0,15.0,2.25
Steamed bean curd roll,"  103 g
",50.0,103.0,30.9,15.45
Beef, 40 g,50.0,40.0,12.0,6.0
Red bean soup," 150 g
",50.0,150.0,45.0,22.5
Taro," 75 g
",50.0,75.0,22.5,11.25
Egg, 50 g,30.0,50.0,15.0,4.5
Loach soup," 220 g
",50.0,220.0,66.0,33.0
Rice," 76 g
",50.0,76.0,22.8,11.4
Vegetable," 230 g
",50.0,230.0,69.0,34.5
Mushroom," 40 g
",12.5,40.0,12.0,1.5
Pork rib soup, 100 g,0.0,100.0,30.0,0.0
Protein powder, 22 g,50.0,22.0,6.6,3.3
Loach soup, 200 g,50.0,200.0,60.0,30.0
Rice," 75 g
",50.0,75.0,22.5,11.25
Vegetable, 130 g,50.0,130.0,39.0,19.5
Taro," 70 g
",50.0,70.0,21.0,10.5
Red bean and red date," 150 g
",50.0,150.0,45.0,22.5
Sea cucumber," 16 g
",50.0,16.0,4.8,2.4
Egg, 50 g,30.0,50.0,15.0,4.5
Loach soup, 220 g,50.0,220.0,66.0,33.0
Rice," 75 g
",50.0,75.0,22.5,11.25
Pork stuffed oil gluten," 45 g
",0.0,45.0,13.5,0.0
Shrimp," 40 g
",50.0,40.0,12.0,6.0
Spinach and celery, 80 g,50.0,80.0,24.0,12.0
Kiwi fruit, 78 g,50.0,78.0,23.4,11.7
Rice," 80 g
",50.0,80.0,24.0,12.0
Vegetable," 100 g
",50.0,100.0,30.0,15.0
Pork stuffed oil gluten," 47 g
",0.0,47.0,14.1,0.0
Shrimp, 40 g,50.0,40.0,12.0,6.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Taro," 50 g
",50.0,50.0,15.0,7.5
Red date and red bean, 80 g,50.0,80.0,24.0,12.0
Rice," 50 g
",50.0,50.0,15.0,7.5
Steamed egg, 30 g,30.0,30.0,9.0,2.7
Steamed pork bun," 120 g
",0.0,120.0,36.0,0.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Red date and red bean, 70 g,50.0,70.0,21.0,10.5
Rice," 70 g
",50.0,70.0,21.0,10.5
Pigeon soup," 40 g
",50.0,40.0,12.0,6.0
Lettuce, 90 g,50.0,90.0,27.0,13.5
Steamed pork dumplings," 42 g
",0.0,42.0,12.6,0.0
Loach soup, 200 g,50.0,200.0,60.0,30.0
"Peanut, red bean and red date soup"," 136 g
",50.0,136.0,40.8,20.4
Egg," 50 g
",30.0,50.0,15.0,4.5
Steamed pork bun, 80 g,0.0,80.0,24.0,0.0
Loach soup," 200 g
",50.0,200.0,60.0,30.0
Dumpling, 160 g,50.0,160.0,48.0,24.0
Pickle noodles," 260 g
",50.0,260.0,78.0,39.0
Orange, 200 g,50.0,200.0,60.0,30.0
Red date and red bean," 136 g
",50.0,136.0,40.8,20.4
Egg, 60 g,30.0,60.0,18.0,5.4
Rice," 83 g
",50.0,83.0,24.9,12.45
Pork rib," 51 g
",0.0,51.0,15.299999999999999,0.0
"Mushroom, chinese cabbage and sliced pork"," 70 g
",9.166666666666666,70.0,21.0,1.925
Loach soup," 200 g
",50.0,200.0,60.0,30.0
Lettuce, 30 g,50.0,30.0,9.0,4.5
Rice," 80 g
",50.0,80.0,24.0,12.0
Scrambled egg with tomato,"   100 g
",30.0,100.0,30.0,9.0
Loach soup," 200 g
",50.0,200.0,60.0,30.0
Orange, 200 g,50.0,200.0,60.0,30.0
Red bean and red date," 180 g
",50.0,180.0,54.0,27.0
Taro," 68 g
",50.0,68.0,20.4,10.2
Egg, 57 g,30.0,57.0,17.099999999999998,5.129999999999999
Loach soup," 200 g
",50.0,200.0,60.0,30.0
Rice," 54 g
",50.0,54.0,16.2,8.1
Steamed sea fish," 40 g
",50.0,40.0,12.0,6.0
Pork rib," 36 g
",0.0,36.0,10.799999999999999,0.0
Steamed egg, 50 g,30.0,50.0,15.0,4.5
Orange, 200 g,50.0,200.0,60.0,30.0
Steamed pork bun," 100 g
",0.0,100.0,30.0,0.0
Cabbage," 30 g
",50.0,30.0,9.0,4.5
Fish," 20 g
",50.0,20.0,6.0,3.0
Loach soup, 200 g,50.0,200.0,60.0,30.0
Steamed bread," 25 g
",50.0,25.0,7.5,3.75
Egg, 60 g,30.0,60.0,18.0,5.4
Coarse grain," 127g
",40.0,127.0,38.1,15.24
Steamed minced meat with eggplant," 109g
",30.0,109.0,32.699999999999996,9.809999999999999
Chinese cabbage," 101g
",15.0,101.0,30.299999999999997,4.544999999999999
Braised pork ribs with carrot, 109g,20.0,109.0,32.699999999999996,6.539999999999999
Milk, 250ml,50.0,250.0,75.0,37.5
Steamed bread, 38 g,50.0,38.0,11.4,5.7
Steamed bread," 40 g
",50.0,40.0,12.0,6.0
Coarse grain," 128g
",40.0,128.0,38.4,15.36
Braised shredded pork and cabbage," 10g
",0.0,10.0,3.0,0.0
Green bean sprout and green pepper," 121g
",50.0,121.0,36.3,18.15
Fried sliced pork with green pepper and onion," 60g
",0.0,60.0,18.0,0.0
2 pieces of chocolate, 93 g,50.0,93.0,27.9,13.95
